filter,impl,rows,cols,kernel,threads,block_x,block_y,time_ms,mse,speedup
box,serial,900,1600,3,4,16,16,25.3203,0,1.00
box,serial,900,1600,7,4,16,16,102.297,0,1.00
box,serial,900,1600,11,4,16,16,240.776,0,1.00
gaussian,serial,900,1600,3,4,16,16,26.3156,0,1.00
gaussian,serial,900,1600,7,4,16,16,101.702,0,1.00
gaussian,serial,900,1600,11,4,16,16,240.655,0,1.00
sharpen,serial,900,1600,3,4,16,16,27.4865,0,1.00
sharpen,serial,900,1600,7,4,16,16,103.687,0,1.00
sharpen,serial,900,1600,11,4,16,16,252.001,0,1.00
sobel,serial,900,1600,3,4,16,16,38.6227,0,1.00
sobel,serial,900,1600,7,4,16,16,36.6383,0,1.00
sobel,serial,900,1600,11,4,16,16,36.5645,0,1.00
gaussian,omp,900,1600,3,1,16,16,28.6836,0,0.92
gaussian,omp,900,1600,3,2,16,16,14.2769,0,1.84
gaussian,omp,900,1600,3,4,16,16,7.28525,0,3.61
gaussian,omp,900,1600,3,8,16,16,7.42836,0,3.54
gaussian,omp,900,1600,3,16,16,16,7.07476,0,3.72
gaussian,omp,900,1600,7,1,16,16,114.09,0,0.89
gaussian,omp,900,1600,7,2,16,16,57.5648,0,1.77
gaussian,omp,900,1600,7,4,16,16,31.2386,0,3.26
gaussian,omp,900,1600,7,8,16,16,29.1546,0,3.49
gaussian,omp,900,1600,7,16,16,16,23.7894,0,4.28
gaussian,omp,900,1600,11,1,16,16,264.641,0,0.91
gaussian,omp,900,1600,11,2,16,16,126.624,0,1.90
gaussian,omp,900,1600,11,4,16,16,64.4594,0,3.73
gaussian,omp,900,1600,11,8,16,16,62.5454,0,3.85
gaussian,omp,900,1600,11,16,16,16,53.9333,0,4.46
sobel,omp,900,1600,3,1,16,16,58.4674,0,0.66
sobel,omp,900,1600,3,2,16,16,32.0859,0,1.20
sobel,omp,900,1600,3,4,16,16,19.5782,0,1.97
sobel,omp,900,1600,3,8,16,16,20.117,0,1.92
sobel,omp,900,1600,3,16,16,16,18.6661,0,2.07
sobel,omp,900,1600,7,1,16,16,59.5651,0,0.62
sobel,omp,900,1600,7,2,16,16,32.1965,0,1.14
sobel,omp,900,1600,7,4,16,16,19.9876,0,1.83
sobel,omp,900,1600,7,8,16,16,19.5489,0,1.87
sobel,omp,900,1600,7,16,16,16,18.4172,0,1.99
sobel,omp,900,1600,11,1,16,16,60.3187,0,0.61
sobel,omp,900,1600,11,2,16,16,32.5469,0,1.12
sobel,omp,900,1600,11,4,16,16,19.5621,0,1.87
sobel,omp,900,1600,11,8,16,16,19.7913,0,1.85
sobel,omp,900,1600,11,16,16,16,17.3848,0,2.10
gaussian,cuda,900,1600,3,4,16,16,248.306,9.18347e-11,0.11
gaussian,cuda,900,1600,3,4,32,8,37.324,9.18347e-11,0.71
gaussian,cuda,900,1600,3,4,32,32,37.5236,9.18347e-11,0.70
gaussian,cuda,900,1600,7,4,16,16,37.8751,1.23015e-10,2.69
gaussian,cuda,900,1600,7,4,32,8,37.6232,1.23015e-10,2.70
gaussian,cuda,900,1600,7,4,32,32,37.1094,1.23015e-10,2.74
gaussian,cuda,900,1600,11,4,16,16,36.3952,1.2688e-10,6.61
gaussian,cuda,900,1600,11,4,32,8,41.5828,1.2688e-10,5.79
gaussian,cuda,900,1600,11,4,32,32,37.3248,1.2688e-10,6.45
sobel,cuda,900,1600,3,4,16,16,34.509,2.86725e-12,1.12
sobel,cuda,900,1600,3,4,32,8,34.075,2.86725e-12,1.13
sobel,cuda,900,1600,3,4,32,32,35.4756,2.86725e-12,1.09
sobel,cuda,900,1600,7,4,16,16,34.9363,2.86725e-12,1.05
sobel,cuda,900,1600,7,4,32,8,35.1828,2.86725e-12,1.04
sobel,cuda,900,1600,7,4,32,32,37.7534,2.86725e-12,0.97
sobel,cuda,900,1600,11,4,16,16,35.3603,2.86725e-12,1.03
sobel,cuda,900,1600,11,4,32,8,37.1213,2.86725e-12,0.99
sobel,cuda,900,1600,11,4,32,32,35.2775,2.86725e-12,1.04
box,cuda,3264,4928,11,4,16,16,293.632,2.69191e-11
gaussian,omp,3264,4928,11,16,16,16,625.271,0
